cost,arr_time,sold_out,dep_time,dest_score,dep_score
234.98,0.40625,0,0.232638889,1.071631633,1.007980522
234.98,0.909722222,0,0.732638889,1.071631633,1.007980522
242.8,0.017361111,0,0.798611111,1.071631633,1.007980522
242.8,0.847222222,0,0.614583333,1.071631633,1.007980522
242.8,0.010416667,0,0.770833333,1.071631633,1.007980522
242.8,0.475694444,0,0.229166667,1.071631633,1.007980522
242.8,0.78125,0,0.527777778,1.071631633,1.007980522
242.8,0.010416667,0,0.756944444,1.071631633,1.007980522
242.8,0.486111111,0,0.222222222,1.071631633,1.007980522
242.8,0.534722222,0,0.270833333,1.071631633,1.007980522
242.8,0.038194444,0,0.774305556,1.071631633,1.007980522
242.8,0.694444444,0,0.40625,1.071631633,1.007980522
237.9,0.65625,0,0.527777778,0.032727332,1.007980522
197.8,0.513888889,0,0.378472222,0.700245032,1.007980522
197.8,0.9375,0,0.798611111,0.700245032,1.007980522
197.8,0.899305556,0,0.756944444,0.700245032,1.007980522
197.8,0.9375,0,0.760416667,0.700245032,1.007980522
197.8,0.697916667,0,0.486111111,0.700245032,1.007980522
197.8,0.513888889,0,0.270833333,0.700245032,1.007980522
197.8,0.9375,0,0.690972222,0.700245032,1.007980522
197.8,0.899305556,0,0.638888889,0.700245032,1.007980522
201.9,0.9375,0,0.638888889,0.700245032,1.007980522
227.8,0.711805556,0,0.40625,0.700245032,1.007980522
148.8,0.020833333,0,0.826388889,0.779065521,1.007980522
148.8,0.579861111,0,0.28125,0.779065521,1.007980522
148.8,0.034722222,0,0.690972222,0.779065521,1.007980522
187.9,0.003472222,0,0.690972222,0.779065521,1.007980522
187.9,0.003472222,0,0.663194444,0.779065521,1.007980522
213.8,0.625,0,0.444444444,0.779065521,1.007980522
217.9,0.034722222,0,0.708333333,0.779065521,1.007980522
239.3,0.635416667,0,0.465277778,0.779065521,1.007980522
247.9,0.736111111,0,0.486111111,0.779065521,1.007980522
247.9,0.736111111,0,0.465277778,0.779065521,1.007980522
317.9,0.798611111,0,0.444444444,0.779065521,1.007980522
119.8,0.0625,0,0.798611111,1.142957115,1.007980522
119.8,0.048611111,0,0.770833333,1.142957115,1.007980522
156.8,0.010416667,0,0.732638889,1.142957115,1.007980522
156.8,0.916666667,0,0.586805556,1.142957115,1.007980522
166.8,0.048611111,0,0.774305556,1.142957115,1.007980522
166.8,0.538194444,0,0.232638889,1.142957115,1.007980522
166.8,0.84375,0,0.527777778,1.142957115,1.007980522
223.98,0.645833333,0,0.430555556,1.142957115,1.007980522
231.8,0.5625,0,0.295138889,1.142957115,1.007980522
235.9,0.819444444,0,0.486111111,1.142957115,1.007980522
289.8,0.506944444,0,0.229166667,1.142957115,1.007980522
171.8,0.503472222,0,0.232638889,0.542263855,1.007980522
171.8,0.010416667,0,0.732638889,0.542263855,1.007980522
204.8,0.045138889,0,0.774305556,0.542263855,1.007980522
204.8,0.944444444,0,0.579861111,0.542263855,1.007980522
208.9,0.934027778,0,0.520833333,0.542263855,1.007980522
227.8,0.6875,0,0.284722222,0.542263855,1.007980522
254.8,0.75,0,0.385416667,0.542263855,1.007980522
258.9,0.944444444,0,0.586805556,0.542263855,1.007980522
293.8,0.701388889,0,0.40625,0.542263855,1.007980522
350,0.944444444,0,0.527777778,0.542263855,1.007980522
130.81,0.913194444,0,0.8125,0.866044559,1.007980522
130.81,0.576388889,0,0.465277778,0.866044559,1.007980522
130.81,0.40625,0,0.284722222,0.866044559,1.007980522
130.81,0.413194444,0,0.28125,0.866044559,1.007980522
130.81,0.381944444,0,0.243055556,0.866044559,1.007980522
130.81,0.402777778,0,0.263888889,0.866044559,1.007980522
152.8,0.746527778,0,0.590277778,0.866044559,1.007980522
169.8,0.743055556,0,0.631944444,0.866044559,1.007980522
221.8,0.590277778,0,0.444444444,0.866044559,1.007980522
221.8,0.701388889,0,0.538194444,0.866044559,1.007980522
230.3,0.486111111,0,0.263888889,0.917245509,1.007980522
316.3,0.520833333,0,0.270833333,0.917245509,1.007980522
164.8,0.618055556,0,0.513888889,0.360900973,1.007980522
189.3,0.503472222,0,0.222222222,0.360900973,1.007980522
189.3,0.875,0,0.513888889,0.360900973,1.007980522
189.3,0.659722222,0,0.263888889,0.360900973,1.007980522
189.3,0.652777778,0,0.232638889,0.360900973,1.007980522
233.3,0.715277778,0,0.527777778,0.360900973,1.007980522
313.3,0.666666667,0,0.236111111,0.360900973,1.007980522
343.3,0.590277778,0,0.378472222,0.360900973,1.007980522
135.8,0.541666667,0,0.232638889,0.694649084,1.007980522
135.8,0.635416667,0,0.232638889,0.694649084,1.007980522
170.8,0.805555556,0,0.552083333,0.694649084,1.007980522
170.8,0.0625,0,0.774305556,0.694649084,1.007980522
170.8,0.694444444,0,0.263888889,0.694649084,1.007980522
221.8,0.590277778,0,0.270833333,0.694649084,1.007980522
221.8,0.746527778,0,0.40625,0.694649084,1.007980522
315.3,0.590277778,0,0.378472222,0.694649084,1.007980522
408,0.920138889,0,0.385416667,0.694649084,1.007980522
164.8,0.5,0,0.295138889,1.390837663,1.007980522
164.8,0.96875,0,0.756944444,1.390837663,1.007980522
164.8,0.8125,0,0.590277778,1.390837663,1.007980522
164.8,0.538194444,0,0.270833333,1.390837663,1.007980522
164.8,0.055555556,0,0.774305556,1.390837663,1.007980522
164.8,0.8125,0,0.486111111,1.390837663,1.007980522
164.8,0.96875,0,0.638888889,1.390837663,1.007980522
264.8,0.711805556,0,0.40625,1.390837663,1.007980522
273,0.96875,0,0.444444444,1.390837663,1.007980522
134.98,0.684027778,0,0.579861111,1.119442835,1.007980522
142.8,0.003472222,0,0.84375,1.119442835,1.007980522
142.8,0.965277778,0,0.798611111,1.119442835,1.007980522
145.98,0.875,0,0.774305556,1.119442835,1.007980522
153.8,0.711805556,0,0.552083333,1.119442835,1.007980522
153.8,0.423611111,0,0.229166667,1.119442835,1.007980522
153.8,0.680555556,0,0.486111111,1.119442835,1.007980522
173.81,0.392361111,0,0.229166667,1.119442835,1.007980522
173.81,0.930555556,0,0.756944444,1.119442835,1.007980522
215.98,0.513888889,0,0.40625,1.119442835,1.007980522
223.8,0.815972222,0,0.638888889,1.119442835,1.007980522
239.3,0.645833333,0,0.385416667,1.119442835,1.007980522
243.8,0.472222222,0,0.295138889,1.119442835,1.007980522
243.8,0.708333333,0,0.527777778,1.119442835,1.007980522
333.3,0.75,0,0.430555556,1.119442835,1.007980522
147.8,0.034722222,0,0.732638889,0.807986384,1.007980522
179.8,0.631944444,0,0.40625,0.807986384,1.007980522
179.8,0.003472222,0,0.774305556,0.807986384,1.007980522
192.8,0.704861111,0,0.40625,0.807986384,1.007980522
250,0.003472222,0,0.486111111,0.807986384,1.007980522
250,0.003472222,0,0.444444444,0.807986384,1.007980522
365.9,0.003472222,0,0.430555556,0.807986384,1.007980522
160.3,0.020833333,0,0.798611111,0.643517824,1.007980522
164.8,0.503472222,0,0.232638889,0.643517824,1.007980522
164.8,0.003472222,0,0.732638889,0.643517824,1.007980522
164.8,0.045138889,0,0.770833333,0.643517824,1.007980522
164.8,0.875,0,0.579861111,0.643517824,1.007980522
192.8,0.006944444,0,0.774305556,0.643517824,1.007980522
192.8,0.465277778,0,0.229166667,0.643517824,1.007980522
192.8,0.958333333,0,0.673611111,0.643517824,1.007980522
192.8,0.958333333,0,0.59375,0.643517824,1.007980522
268.3,0.517361111,0,0.295138889,0.643517824,1.007980522
272.8,0.697916667,0,0.40625,0.643517824,1.007980522
272.8,0.996527778,0,0.631944444,0.643517824,1.007980522
148.3,0.447916667,0,0.229166667,0.701975134,1.007980522
152.8,0.006944444,0,0.798611111,0.701975134,1.007980522
152.8,0.996527778,0,0.770833333,0.701975134,1.007980522
152.8,0.020833333,0,0.774305556,0.701975134,1.007980522
152.8,0.503472222,0,0.232638889,0.701975134,1.007980522
152.8,0.763888889,0,0.486111111,0.701975134,1.007980522
152.8,0.013888889,0,0.732638889,0.701975134,1.007980522
170.8,0.506944444,0,0.295138889,0.701975134,1.007980522
200.8,0.822916667,0,0.513888889,0.701975134,1.007980522
240.8,0.701388889,0,0.40625,0.701975134,1.007980522
302.81,0.694444444,0,0.385416667,0.701975134,1.007980522
148.8,0.375,0,0.270833333,0.727357225,1.007980522
148.8,0.875,0,0.756944444,0.727357225,1.007980522
148.8,0.725694444,0,0.527777778,0.727357225,1.007980522
148.8,0.875,0,0.638888889,0.727357225,1.007980522
152.9,0.875,0,0.690972222,0.727357225,1.007980522
152.9,0.565972222,0,0.361111111,0.727357225,1.007980522
152.9,0.875,0,0.590277778,0.727357225,1.007980522
186.8,0.565972222,0,0.378472222,0.727357225,1.007980522
89.98,0.836805556,0,0.798611111,1.479260305,1.007980522
89.98,0.923611111,0,0.885416667,1.479260305,1.007980522
89.98,0.965277778,0,0.927083333,1.479260305,1.007980522
89.98,0.270833333,0,0.229166667,1.479260305,1.007980522
89.98,0.402777778,0,0.361111111,1.479260305,1.007980522
89.98,0.631944444,0,0.590277778,1.479260305,1.007980522
89.98,0.885416667,0,0.84375,1.479260305,1.007980522
99.99,0.729166667,0,0.690972222,1.479260305,1.007980522
99.99,0.805555556,0,0.760416667,1.479260305,1.007980522
139.98,0.527777778,0,0.486111111,1.479260305,1.007980522
102.98,0.875,0,0.826388889,2.453908609,1.007980522
102.98,0.958333333,0,0.909722222,2.453908609,1.007980522
102.98,0.732638889,0,0.673611111,2.453908609,1.007980522
106.98,0.309027778,0,0.263888889,2.453908609,1.007980522
114.8,0.982638889,0,0.8125,2.453908609,1.007980522
126.98,0.489583333,0,0.444444444,2.453908609,1.007980522
126.98,0.642361111,0,0.59375,2.453908609,1.007980522
134.8,0.611111111,0,0.486111111,2.453908609,1.007980522
148.8,0.916666667,0,0.798611111,2.453908609,1.007980522
148.8,0.711805556,0,0.590277778,2.453908609,1.007980522
148.8,0.916666667,0,0.760416667,2.453908609,1.007980522
188.8,0.826388889,0,0.690972222,2.453908609,1.007980522
218.8,0.736111111,0,0.586805556,2.453908609,1.007980522
248.8,0.475694444,0,0.322916667,2.453908609,1.007980522
248.8,0.427083333,0,0.270833333,2.453908609,1.007980522
248.8,0.798611111,0,0.638888889,2.453908609,1.007980522
