inst#,actual,predicted,error
231,121.8,141.8,20
232,160.8,146.305,-14.495
233,?,157.163,?
234,142.99,163.62,20.63
235,345,254.35,-90.65
236,282.1,223.133,-58.967
237,224.8,304.014,79.214
238,290.9,228.35,-62.55
239,195.8,195.8,0
240,227.8,233.24,5.44
241,156.8,187.767,30.967
242,158.8,163.51,4.71
243,205.8,269.8,64
244,196.8,224.464,27.664
245,201.8,248.514,46.714
246,328.8,311.575,-17.225
247,149.8,114.973,-34.827
248,354.9,219.868,-135.032
249,207.8,207.8,-0
250,245.8,248.029,2.229
251,159.8,193.471,33.671
252,293.9,219.8,-74.1
253,199.8,229.9,30.1
254,171.8,202.689,30.889
255,205.9,240.5,34.6
256,276.4,299.4,23
257,172.79,247.295,74.505
258,318.9,211.9,-107
259,206.8,210.9,4.1
260,314.9,314.9,0
261,100.9,170.8,69.9
262,226.8,239.325,12.525
263,168.8,168.8,0
264,202.98,211.483,8.503
265,252.8,229.533,-23.267
266,289.3,283.32,-5.98
267,171.8,182.3,10.5
268,172.79,175.348,2.558
269,228.8,228.8,0
270,185.99,165.335,-20.655
271,286.8,148.833,-137.967
272,101.8,127.687,25.887
273,280.9,240.8,-40.1
274,119.98,150.3,30.32
275,140.8,140.8,0
276,210.9,169.386,-41.514
277,279.9,207.8,-72.1
278,345.81,345.81,0
279,102.98,121.036,18.056
280,121.8,232.842,111.042
281,192.8,194.8,2
282,189.9,174.9,-15
283,168.9,118.9,-50
284,116.8,203.943,87.143
285,279.9,161.9,-118
286,211.8,245.9,34.1
287,199.8,204.671,4.871
288,239.8,180.431,-59.369
289,246.8,277.271,30.471
290,145.3,152.854,7.554
291,62.98,69.38,6.4
292,153.8,121,-32.8
293,177.3,178.12,0.82
294,163.4,141.35,-22.05
295,206.8,227.8,21
296,210.8,221.671,10.871
297,270.9,151.35,-119.55
298,217.81,291.674,73.864
299,267.9,284.5,16.6
300,245.9,271.05,25.15
301,349.14,389.14,40
302,188.8,188.8,0
303,312.9,230.9,-82
304,263.2,243.2,-20
305,275.8,275.8,0
306,199.8,203.9,4.1
307,228.8,176.8,-52
308,201.8,263.8,62
309,178.8,167.264,-11.536
310,274.4,262.18,-12.22
311,173.4,172.79,-0.61
312,338.9,253.4,-85.5
313,100.98,116.137,15.157
314,215.9,256.5,40.6
315,182.8,209.8,27
316,138.8,138.8,0
317,102.98,102.98,-0
318,154.8,159.651,4.851
319,236.8,181.5,-55.3
320,206.8,208.08,1.28
321,161.8,181.8,20
322,375.9,235.85,-140.05
323,164.98,126.198,-38.782
324,138.3,134.336,-3.964
325,?,279.9,?
326,231.72,254.6,22.88
327,236.9,232.8,-4.1
328,153.8,335.9,182.1
329,190.3,156.478,-33.822
330,262.8,176.019,-86.781
331,190.9,220.9,30
332,170.98,196.636,25.656
333,124.8,147.325,22.525
334,226.4,182.3,-44.1
335,161.8,193.8,32
336,261.8,295.833,34.033
337,178.8,136.014,-42.786
338,226.4,180.8,-45.6
339,126.8,126.8,0
340,122.98,190.789,67.809
341,271.9,251.85,-20.05
342,217.81,185.8,-32.01
343,229.8,234.2,4.4
344,167.8,207.8,40
345,210.3,210.3,0
346,134.8,138.9,4.1
347,260.9,236.9,-24
348,405.9,328.944,-76.956
349,189.8,160.8,-29
350,226.8,317.9,91.1
351,169.8,169.8,0
352,192.8,195.575,2.775
353,243.2,324.9,81.7
354,155.8,160.8,5
355,200.9,143.8,-57.1
356,147.8,172.79,24.99
357,257.8,277.9,20.1
358,211.8,228.85,17.05
359,193.3,254.25,60.95
360,?,164.8,?
361,183.3,179.71,-3.59
362,191.8,195.9,4.1
363,164.8,173.8,9
364,202.4,169.31,-33.09
365,150.8,148.285,-2.515
366,233.8,242.97,9.17
367,244.8,199.414,-45.386
368,209.9,200.18,-9.72
369,92.8,129.33,36.53
370,209.8,149.8,-60
371,106.8,146.8,40
372,170.8,108.8,-62
373,109.8,138.133,28.333
374,161.8,221.8,60
375,140.9,136.8,-4.1
376,235.8,184.04,-51.76
377,243.9,175.84,-68.06
378,?,310.8,?
379,173.81,158.805,-15.005
380,184.8,184.8,0
381,263.2,164.8,-98.4
382,263.2,263.2,0
383,107.98,113.897,5.917
384,218.9,144.8,-74.1
385,236.8,236.343,-0.457
386,211.8,225.8,14
387,198.8,178.8,-20
388,148.8,148.8,0
389,353.9,259.81,-94.09
390,233.8,159.822,-73.978
391,263.91,198.575,-65.335
392,267.9,267.9,0
393,158.8,158.98,0.18
394,81.8,81.8,0
395,186.8,243.8,57
396,152.8,152.8,0
397,175.8,200.8,25
398,310.9,242.075,-68.825
399,148.8,146.415,-2.385
400,211.8,200.04,-11.76
401,?,249.098,?
402,155.8,172.1,16.3
403,214.9,129.98,-84.92
404,202.8,200.688,-2.113
405,382.9,146.98,-235.92
406,159.8,171.85,12.05
407,115.8,115.8,0
408,169.8,216.9,47.1
409,193.8,193.8,0
410,293.8,258.683,-35.117
411,139.8,141.83,2.03
412,204.8,203.671,-1.129
413,211.8,207.3,-4.5
414,166.8,156.704,-10.096
415,313.8,253.697,-60.103
416,302.9,310.553,7.653
417,254.5,187.553,-66.947
418,154.8,331.2,176.4
419,267.8,156.8,-111
420,208.8,185.8,-23
421,184.99,220.8,35.81
422,281,230.894,-50.106
423,262.8,254.89,-7.91
424,192.98,162.98,-30
425,171.8,143.083,-28.717
426,147.8,183.497,35.697
427,331.8,334.286,2.486
428,249.98,209.129,-40.851
429,136.8,136.8,0
430,230.8,275.8,45
431,214.9,162.8,-52.1
432,216.9,186.8,-30.1
433,155.98,196.45,40.47
434,326.8,326.8,0
435,367.3,164.8,-202.5
436,270.8,279.429,8.629
437,207.8,207.8,0
438,114.8,127.111,12.311
439,163.8,166.112,2.312
440,206.8,208.48,1.68
441,154.8,154.8,0
442,180.8,180.8,0
443,199.9,172.167,-27.733
444,199.9,149.85,-50.05
445,301.9,206.8,-95.1
446,330.3,205.304,-124.996
447,151.8,151.8,0
448,172.79,192.806,20.016
449,229.8,351.017,121.217
450,242.8,266.778,23.978
451,162.8,197.8,35
452,241.8,244.73,2.93
453,211.8,255.9,44.1
454,293.9,253.9,-40
455,179.8,179.8,0
456,250,314.633,64.633
457,168.8,246.04,77.24
458,191.8,165.47,-26.33
459,279.9,285.9,6
460,176.8,135.007,-41.793
461,117.3,153.148,35.848
462,197.8,143.633,-54.167
463,218.8,218.8,0
464,169.8,228.567,58.767
465,138.8,115.672,-23.128
466,301.9,237.3,-64.6
467,170.8,179.71,8.91
468,182.8,178.3,-4.5
469,197.98,148.563,-49.417
470,159.8,175.8,16
471,286.8,220.326,-66.474
472,317,312.9,-4.1
473,181.8,181.8,0
474,168.8,121.282,-47.518
475,97.8,97.8,0
476,298.31,213.353,-84.957
477,177.8,201.586,23.786
478,218.8,218.26,-0.54
479,208.9,189.85,-19.05
480,211.8,184.9,-26.9
481,325.8,284.02,-41.78
482,292.9,241.9,-51
483,444.2,321.45,-122.75
484,132.8,107.8,-25
485,233.8,230.088,-3.713
486,123.8,108.8,-15
487,203.8,160.22,-43.58
488,174.98,184.122,9.142
489,219.8,227.957,8.157
490,110.8,120.529,9.729
491,316.9,231.8,-85.1
492,322.3,186.597,-135.703
493,171.98,177.667,5.687
494,153.8,157.9,4.1
495,162.8,258.467,95.667
496,135.8,169.883,34.083
497,237.9,287.9,50
498,138.8,140.85,2.05
499,170.8,150.246,-20.554
500,217.9,173.053,-44.847
501,284.8,236.8,-48
502,181.9,198.8,16.9
503,143.8,112.98,-30.82
504,92.98,121.313,28.333
505,199.8,203.08,3.28
506,143.98,150.497,6.517
507,254.8,291.375,36.575
508,172.79,205.313,32.523
509,?,415.9,?
510,300.8,266.8,-34
511,118.8,136.014,17.214
512,170.8,218.324,47.524
513,199.8,213.971,14.171
514,115.8,111.89,-3.91
