inst#,actual,predicted,error
222,141.8,204.789,62.989
223,275,204.789,-70.211
224,164.3,204.789,40.489
225,293.9,204.789,-89.111
226,234.08,204.789,-29.291
227,140.8,204.789,63.989
228,284.8,204.789,-80.011
229,251.8,204.789,-47.011
230,221.8,204.789,-17.011
231,289.9,204.789,-85.111
232,222.8,204.789,-18.011
233,318.8,204.789,-114.011
234,345,204.789,-140.211
235,121.8,204.789,82.989
236,182.98,204.789,21.809
237,252.8,204.789,-48.011
238,70.98,204.789,133.809
239,178.91,204.789,25.879
240,219.89,204.789,-15.101
241,150.8,204.789,53.989
242,172.79,204.789,31.999
243,162.98,204.789,41.809
244,179.3,204.789,25.489
245,168.8,204.789,35.989
246,120.8,204.789,83.989
247,187.8,204.789,16.989
248,100.98,204.789,103.809
249,181.9,204.789,22.889
250,?,204.789,?
251,140.9,204.789,63.889
252,195.8,204.789,8.989
253,213.8,204.789,-9.011
254,86.98,204.789,117.809
255,130.81,204.789,73.979
256,169.8,204.789,34.989
257,297.8,204.789,-93.011
258,171.8,204.789,32.989
259,118.9,204.789,85.889
260,218.8,204.789,-14.011
261,240.8,204.789,-36.011
262,145.3,204.789,59.489
263,174.81,204.789,29.979
264,165.8,204.789,38.989
265,102.98,204.789,101.809
266,361.8,204.789,-157.011
267,89.98,204.789,114.809
268,200.8,204.789,3.989
269,138.8,204.789,65.989
270,223.8,204.789,-19.011
271,142.8,204.789,61.989
272,293.9,204.789,-89.111
273,142.8,204.789,61.989
274,123.98,204.789,80.809
275,215.9,204.789,-11.111
276,205.9,204.789,-1.111
277,267.8,204.789,-63.011
278,266,204.789,-61.211
279,150.8,204.789,53.989
280,129.79,204.789,74.999
281,207.9,204.789,-3.111
282,164.8,204.789,39.989
283,172.79,204.789,31.999
284,178.8,204.789,25.989
285,331.8,204.789,-127.011
286,182.8,204.789,21.989
287,210.9,204.789,-6.111
288,326.1,204.789,-121.311
289,252.1,204.789,-47.311
290,404.1,204.789,-199.311
291,192.8,204.789,11.989
292,174.98,204.789,29.809
293,171.68,204.789,33.109
294,86.79,204.789,117.999
295,172.79,204.789,31.999
296,170.8,204.789,33.989
297,121.98,204.789,82.809
298,193.8,204.789,10.989
299,144.8,204.789,59.989
300,211.8,204.789,-7.011
301,226.9,204.789,-22.111
302,132.98,204.789,71.809
303,239.8,204.789,-35.011
304,233.8,204.789,-29.011
305,206.8,204.789,-2.011
306,182.8,204.789,21.989
307,115.8,204.789,88.989
308,187.8,204.789,16.989
309,212.9,204.789,-8.111
310,243.3,204.789,-38.511
311,306.41,204.789,-101.621
312,282.9,204.789,-78.111
313,449.13,204.789,-244.341
314,359.9,204.789,-155.111
315,132.8,204.789,71.989
316,259.9,204.789,-55.111
317,141.8,204.789,62.989
318,187.9,204.789,16.889
319,181.9,204.789,22.889
320,309.3,204.789,-104.511
321,186.8,204.789,17.989
322,220.8,204.789,-16.011
323,148.8,204.789,55.989
324,201.8,204.789,2.989
325,186.8,204.789,17.989
326,123.3,204.789,81.489
327,151.8,204.789,52.989
328,?,204.789,?
329,230.8,204.789,-26.011
330,243.9,204.789,-39.111
331,293.3,204.789,-88.511
332,284,204.789,-79.211
333,146.3,204.789,58.489
334,295.8,204.789,-91.011
335,229.8,204.789,-25.011
336,186.8,204.789,17.989
337,341.8,204.789,-137.011
338,189.3,204.789,15.489
339,153.8,204.789,50.989
340,283.9,204.789,-79.111
341,336.8,204.789,-132.011
342,207.8,204.789,-3.011
343,99.99,204.789,104.799
344,171.8,204.789,32.989
345,156.8,204.789,47.989
346,192.8,204.789,11.989
347,?,204.789,?
348,301.79,204.789,-97.001
349,225.01,204.789,-20.221
350,212.9,204.789,-8.111
351,380.9,204.789,-176.111
352,270.8,204.789,-66.011
353,271.9,204.789,-67.111
354,145.8,204.789,58.989
355,189.8,204.789,14.989
356,291.8,204.789,-87.011
357,264.91,204.789,-60.121
358,251.72,204.789,-46.931
359,281.9,204.789,-77.111
360,217.81,204.789,-13.021
361,198.8,204.789,5.989
362,255.8,204.789,-51.011
363,186.8,204.789,17.989
364,139.8,204.789,64.989
365,269.8,204.789,-65.011
366,305.49,204.789,-100.701
367,174.3,204.789,30.489
368,264.98,204.789,-60.191
369,297.9,204.789,-93.111
370,68.98,204.789,135.809
371,141.8,204.789,62.989
372,301.79,204.789,-97.001
373,245.74,204.789,-40.951
374,337.8,204.789,-133.011
375,189.9,204.789,14.889
376,196.8,204.789,7.989
377,172.3,204.789,32.489
378,204.9,204.789,-0.111
379,297.8,204.789,-93.011
380,127.8,204.789,76.989
381,157.8,204.789,46.989
382,200.8,204.789,3.989
383,313.9,204.789,-109.111
384,299.9,204.789,-95.111
385,170.8,204.789,33.989
386,213.9,204.789,-9.111
387,211.8,204.789,-7.011
388,115.98,204.789,88.809
389,121.8,204.789,82.989
390,279.8,204.789,-75.011
391,183.8,204.789,20.989
392,183.9,204.789,20.889
393,221.8,204.789,-17.011
394,180.8,204.789,23.989
395,196.3,204.789,8.489
396,219.8,204.789,-15.011
397,181.4,204.789,23.389
398,208.3,204.789,-3.511
399,93.8,204.789,110.989
400,102.98,204.789,101.809
401,140.97,204.789,63.819
402,187.9,204.789,16.889
403,218.8,204.789,-14.011
404,220.8,204.789,-16.011
405,217.81,204.789,-13.021
406,283.8,204.789,-79.011
407,165.8,204.789,38.989
408,128.8,204.789,75.989
409,194.8,204.789,9.989
410,335.9,204.789,-131.111
411,219.8,204.789,-15.011
412,283.93,204.789,-79.141
413,205.9,204.789,-1.111
414,172.79,204.789,31.999
415,240.9,204.789,-36.111
416,265.24,204.789,-60.451
417,169.3,204.789,35.489
418,200.8,204.789,3.989
419,181.8,204.789,22.989
420,114.3,204.789,90.489
421,240.3,204.789,-35.511
422,227.3,204.789,-22.511
423,185.9,204.789,18.889
424,253.98,204.789,-49.191
425,217.81,204.789,-13.021
426,?,204.789,?
427,150.8,204.789,53.989
428,197.8,204.789,6.989
429,56.99,204.789,147.799
430,211.8,204.789,-7.011
431,204.8,204.789,-0.011
432,210.3,204.789,-5.511
433,104.8,204.789,99.989
434,274,204.789,-69.211
435,165.8,204.789,38.989
436,146.98,204.789,57.809
437,233.8,204.789,-29.011
438,214.8,204.789,-10.011
439,305.1,204.789,-100.311
440,172.79,204.789,31.999
441,318.8,204.789,-114.011
442,188.9,204.789,15.889
443,152.8,204.789,51.989
444,106.8,204.789,97.989
445,211.8,204.789,-7.011
446,328.8,204.789,-124.011
447,415.9,204.789,-211.111
448,177.98,204.789,26.809
449,135.8,204.789,68.989
450,134.3,204.789,70.489
451,143.98,204.789,60.809
452,160.8,204.789,43.989
453,255.9,204.789,-51.111
454,205.9,204.789,-1.111
455,201.8,204.789,2.989
456,225.8,204.789,-21.011
457,143.9,204.789,60.889
458,252.8,204.789,-48.011
459,231.9,204.789,-27.111
460,224.9,204.789,-20.111
461,110.3,204.789,94.489
462,148.8,204.789,55.989
463,101.8,204.789,102.989
464,70.98,204.789,133.809
465,215.79,204.789,-11.001
466,352.8,204.789,-148.011
467,161.8,204.789,42.989
468,127.98,204.789,76.809
469,311.01,204.789,-106.221
470,221.8,204.789,-17.011
471,191.98,204.789,12.809
472,107.8,204.789,96.989
473,215.9,204.789,-11.111
474,205.8,204.789,-1.011
475,180.9,204.789,23.889
476,226.4,204.789,-21.611
477,185.9,204.789,18.889
478,217.81,204.789,-13.021
479,186.8,204.789,17.989
480,106.8,204.789,97.989
481,250.8,204.789,-46.011
482,168.4,204.789,36.389
483,297.9,204.789,-93.111
484,185.8,204.789,18.989
485,163.8,204.789,40.989
486,388.65,204.789,-183.861
487,166.8,204.789,37.989
488,169.8,204.789,34.989
489,162.98,204.789,41.809
490,206.8,204.789,-2.011
491,171.8,204.789,32.989
492,195.8,204.789,8.989
493,191.9,204.789,12.889
494,212.31,204.789,-7.521
495,176.89,204.789,27.899
496,226.8,204.789,-22.011
497,233.8,204.789,-29.011
498,194.8,204.789,9.989
499,214.8,204.789,-10.011
500,215.31,204.789,-10.521
501,290.9,204.789,-86.111
502,189.8,204.789,14.989
503,203.8,204.789,0.989
504,397.61,204.789,-192.821
505,177.3,204.789,27.489
506,235.9,204.789,-31.111
507,268.9,204.789,-64.111
508,153.8,204.789,50.989
509,161.3,204.789,43.489
510,271.3,204.789,-66.511
511,266.8,204.789,-62.011
512,223.9,204.789,-19.111
513,247.3,204.789,-42.511
514,238.8,204.789,-34.011
515,227.8,204.789,-23.011
516,111.8,204.789,92.989
517,165.3,204.789,39.489
518,405.9,204.789,-201.111
519,189.8,204.789,14.989
520,218.8,204.789,-14.011
521,89.8,204.789,114.989
522,76.3,204.789,128.489
523,167.8,204.789,36.989
524,188.3,204.789,16.489
525,248.8,204.789,-44.011
526,255.4,204.789,-50.611
527,277.8,204.789,-73.011
528,191.9,204.789,12.889
529,106.8,204.789,97.989
530,176.8,204.789,27.989
531,312.01,204.789,-107.221
532,189.8,204.789,14.989
533,149.8,204.789,54.989
534,293.8,204.789,-89.011
535,149.8,204.789,54.989
536,251.8,204.789,-47.011
537,216.81,204.789,-12.021
538,260.81,204.789,-56.021
539,297.8,204.789,-93.011
540,262.89,204.789,-58.101
541,172.79,204.789,31.999
542,196.8,204.789,7.989
543,60.98,204.789,143.809
544,210.8,204.789,-6.011
545,233.9,204.789,-29.111
546,177.8,204.789,26.989
547,326.8,204.789,-122.011
548,234.3,204.789,-29.511
549,255.8,204.789,-51.011
550,156.8,204.789,47.989
551,118.3,204.789,86.489
552,183.8,204.789,20.989
553,344.9,204.789,-140.111
554,201.8,204.789,2.989
555,225.9,204.789,-21.111
556,231.8,204.789,-27.011
557,206.8,204.789,-2.011
558,141.8,204.789,62.989
559,302.9,204.789,-98.111
560,363.9,204.789,-159.111
561,201.56,204.789,3.229
562,233.8,204.789,-29.011
563,115.8,204.789,88.989
564,353.8,204.789,-149.011
565,216.81,204.789,-12.021
566,304.8,204.789,-100.011
567,229.98,204.789,-25.191
568,291.9,204.789,-87.111
569,214.8,204.789,-10.011
570,207.8,204.789,-3.011
571,162.8,204.789,41.989
572,182.8,204.789,21.989
573,202.88,204.789,1.909
574,181.8,204.789,22.989
575,215.9,204.789,-11.111
576,78.98,204.789,125.809
577,203.8,204.789,0.989
578,177.9,204.789,26.889
579,216.81,204.789,-12.021
580,248.8,204.789,-44.011
581,225.9,204.789,-21.111
582,272.4,204.789,-67.611
583,369.8,204.789,-165.011
584,326.8,204.789,-122.011
585,368.5,204.789,-163.711
586,153.8,204.789,50.989
587,322,204.789,-117.211
588,201.8,204.789,2.989
589,147.8,204.789,56.989
590,140.8,204.789,63.989
591,125.8,204.789,78.989
592,126.8,204.789,77.989
593,129.79,204.789,74.999
594,70.98,204.789,133.809
595,359.11,204.789,-154.321
596,109.98,204.789,94.809
597,196.8,204.789,7.989
598,239.9,204.789,-35.111
599,107.98,204.789,96.809
600,222.8,204.789,-18.011
601,155.9,204.789,48.889
602,135.8,204.789,68.989
603,172.79,204.789,31.999
604,173.9,204.789,30.889
605,305.89,204.789,-101.101
606,140.8,204.789,63.989
607,135.91,204.789,68.879
608,222.8,204.789,-18.011
609,217.81,204.789,-13.021
610,133.8,204.789,70.989
611,252.8,204.789,-48.011
612,197.8,204.789,6.989
613,194.8,204.789,9.989
614,263.4,204.789,-58.611
615,189.8,204.789,14.989
616,255.9,204.789,-51.111
617,211.29,204.789,-6.501
618,193.8,204.789,10.989
619,431.1,204.789,-226.311
620,187.8,204.789,16.989
621,153.8,204.789,50.989
622,193.4,204.789,11.389
623,254.84,204.789,-50.051
624,223.8,204.789,-19.011
625,216.81,204.789,-12.021
626,165.98,204.789,38.809
627,200.8,204.789,3.989
628,212.8,204.789,-8.011
629,?,204.789,?
630,118.8,204.789,85.989
631,101.98,204.789,102.809
632,247.8,204.789,-43.011
633,306.91,204.789,-102.121
634,178.8,204.789,25.989
635,227.9,204.789,-23.111
636,182.8,204.789,21.989
637,152.8,204.789,51.989
638,205.3,204.789,-0.511
639,241.8,204.789,-37.011
640,213.8,204.789,-9.011
641,261.8,204.789,-57.011
642,292.9,204.789,-88.111
643,187.8,204.789,16.989
644,186.8,204.789,17.989
645,159.3,204.789,45.489
646,214.8,204.789,-10.011
647,?,204.789,?
648,183.8,204.789,20.989
649,172.9,204.789,31.889
650,273.9,204.789,-69.111
651,184.9,204.789,19.889
652,196.9,204.789,7.889
653,169.8,204.789,34.989
654,179.8,204.789,24.989
655,176.8,204.789,27.989
656,192.8,204.789,11.989
657,338.5,204.789,-133.711
658,123.8,204.789,80.989
659,173.81,204.789,30.979
660,?,204.789,?
661,160.8,204.789,43.989
662,121.8,204.789,82.989
663,348.89,204.789,-144.101
664,319.9,204.789,-115.111
665,173.81,204.789,30.979
666,421.8,204.789,-217.011
667,261.9,204.789,-57.111
668,116.3,204.789,88.489
669,206.8,204.789,-2.011
670,279.8,204.789,-75.011
671,260.51,204.789,-55.721
672,259.81,204.789,-55.021
673,144.8,204.789,59.989
674,306.8,204.789,-102.011
675,207.8,204.789,-3.011
676,177.8,204.789,26.989
677,186.8,204.789,17.989
678,139.8,204.789,64.989
679,147.3,204.789,57.489
680,140.8,204.789,63.989
681,171.4,204.789,33.389
682,129.79,204.789,74.999
683,181.9,204.789,22.889
684,151.8,204.789,52.989
685,452.1,204.789,-247.311
686,116.8,204.789,87.989
687,203.9,204.789,0.889
688,152.8,204.789,51.989
689,286.9,204.789,-82.111
690,179.8,204.789,24.989
691,155.9,204.789,48.889
692,161.8,204.789,42.989
693,250.8,204.789,-46.011
694,172.79,204.789,31.999
695,117.98,204.789,86.809
696,366.9,204.789,-162.111
697,166.9,204.789,37.889
698,211.8,204.789,-7.011
699,293.8,204.789,-89.011
700,173.81,204.789,30.979
701,222.3,204.789,-17.511
702,285.8,204.789,-81.011
703,245.8,204.789,-41.011
704,100.8,204.789,103.989
705,153.8,204.789,50.989
706,139.8,204.789,64.989
707,166.3,204.789,38.489
708,312.01,204.789,-107.221
709,171.9,204.789,32.889
710,201.8,204.789,2.989
711,328.9,204.789,-124.111
712,235.8,204.789,-31.011
713,144.9,204.789,59.889
714,150.8,204.789,53.989
715,210.8,204.789,-6.011
716,123.8,204.789,80.989
717,301.79,204.789,-97.001
718,139.3,204.789,65.489
719,157.98,204.789,46.809
720,178.8,204.789,25.989
721,116.8,204.789,87.989
722,174.81,204.789,29.979
723,225.8,204.789,-21.011
724,77.3,204.789,127.489
725,167.8,204.789,36.989
726,292,204.789,-87.211
727,154.8,204.789,49.989
728,199.48,204.789,5.309
729,139.98,204.789,64.809
