inst#,actual,predicted,error
222,171.8,204.749,32.949
223,256.8,204.749,-52.051
224,201.8,204.749,2.949
225,190,204.749,14.749
226,161.8,204.749,42.949
227,256.8,204.749,-52.051
228,202.8,204.749,1.949
229,225.9,204.749,-21.151
230,150.8,204.749,53.949
231,121.8,204.749,82.949
232,160.8,204.749,43.949
233,?,204.749,?
234,142.99,204.749,61.759
235,345,204.749,-140.251
236,282.1,204.749,-77.351
237,224.8,204.749,-20.051
238,290.9,204.749,-86.151
239,195.8,204.749,8.949
240,227.8,204.749,-23.051
241,156.8,204.749,47.949
242,158.8,204.749,45.949
243,205.8,204.749,-1.051
244,196.8,204.749,7.949
245,201.8,204.749,2.949
246,328.8,204.749,-124.051
247,149.8,204.749,54.949
248,354.9,204.749,-150.151
249,207.8,204.749,-3.051
250,245.8,204.749,-41.051
251,159.8,204.749,44.949
252,293.9,204.749,-89.151
253,199.8,204.749,4.949
254,171.8,204.749,32.949
255,205.9,204.749,-1.151
256,276.4,204.749,-71.651
257,172.79,204.749,31.959
258,318.9,204.749,-114.151
259,206.8,204.749,-2.051
260,314.9,204.749,-110.151
261,100.9,204.749,103.849
262,226.8,204.749,-22.051
263,168.8,204.749,35.949
264,202.98,204.749,1.769
265,252.8,204.749,-48.051
266,289.3,204.749,-84.551
267,171.8,204.749,32.949
268,172.79,204.749,31.959
269,228.8,204.749,-24.051
270,185.99,204.749,18.759
271,286.8,204.749,-82.051
272,101.8,204.749,102.949
273,280.9,204.749,-76.151
274,119.98,204.749,84.769
275,140.8,204.749,63.949
276,210.9,204.749,-6.151
277,279.9,204.749,-75.151
278,345.81,204.749,-141.061
279,102.98,204.749,101.769
280,121.8,204.749,82.949
281,192.8,204.749,11.949
282,189.9,204.749,14.849
283,168.9,204.749,35.849
284,116.8,204.749,87.949
285,279.9,204.749,-75.151
286,211.8,204.749,-7.051
287,199.8,204.749,4.949
288,239.8,204.749,-35.051
289,246.8,204.749,-42.051
290,145.3,204.749,59.449
291,62.98,204.749,141.769
292,153.8,204.749,50.949
293,177.3,204.749,27.449
294,163.4,204.749,41.349
295,206.8,204.749,-2.051
296,210.8,204.749,-6.051
297,270.9,204.749,-66.151
298,217.81,204.749,-13.061
299,267.9,204.749,-63.151
300,245.9,204.749,-41.151
301,349.14,204.749,-144.391
302,188.8,204.749,15.949
303,312.9,204.749,-108.151
