inst#,actual,predicted,error
222,171.8,199.947,28.147
223,256.8,200.397,-56.403
224,201.8,200.223,-1.577
225,190,199.665,9.665
226,161.8,200.28,38.48
227,256.8,200.321,-56.479
228,202.8,200.452,-2.348
229,225.9,200.374,-25.526
230,150.8,178.878,28.078
231,121.8,199.664,77.864
232,160.8,200.715,39.915
233,?,200.059,?
234,142.99,200.223,57.233
235,345,196.62,-148.38
236,282.1,200.813,-81.287
237,224.8,196.315,-28.485
238,290.9,196.021,-94.879
239,195.8,225.767,29.967
240,227.8,199.879,-27.921
241,156.8,199.852,43.052
242,158.8,199.888,41.088
243,205.8,200.467,-5.333
244,196.8,200.465,3.665
245,201.8,200.205,-1.595
246,328.8,240.722,-88.078
247,149.8,199.75,49.95
248,354.9,199.698,-155.202
249,207.8,196.262,-11.538
250,245.8,200.214,-45.586
251,159.8,200.111,40.311
252,293.9,200.603,-93.297
253,199.8,196.076,-3.724
254,171.8,238.023,66.223
255,205.9,207.986,2.086
256,276.4,200.395,-76.005
257,172.79,239.931,67.141
258,318.9,258.605,-60.295
259,206.8,200.215,-6.585
260,314.9,200.623,-114.277
261,100.9,199.762,98.862
262,226.8,200.474,-26.326
263,168.8,195.694,26.894
264,202.98,200.19,-2.79
265,252.8,200.506,-52.294
266,289.3,241.349,-47.951
267,171.8,208.275,36.475
268,172.79,199.72,26.93
269,228.8,200.615,-28.185
270,185.99,200.279,14.289
271,286.8,200.26,-86.54
272,101.8,199.942,98.142
273,280.9,238.305,-42.595
274,119.98,199.649,79.669
275,140.8,200.291,59.491
276,210.9,200.648,-10.252
277,279.9,257.773,-22.127
278,345.81,200.381,-145.429
279,102.98,199.984,97.004
280,121.8,200.467,78.667
281,192.8,200.47,7.67
282,189.9,200.316,10.416
283,168.9,207.71,38.81
284,116.8,199.853,83.053
285,279.9,200.16,-79.74
286,211.8,200.498,-11.302
287,199.8,200.502,0.702
288,239.8,195.797,-44.003
289,246.8,200.974,-45.826
290,145.3,200.059,54.759
291,62.98,200.3,137.32
292,153.8,199.963,46.163
293,177.3,200.315,23.015
294,163.4,200.294,36.894
295,206.8,200.827,-5.973
296,210.8,207.274,-3.526
297,270.9,200.283,-70.617
298,217.81,200.683,-17.127
299,267.9,199.959,-67.941
300,245.9,200.603,-45.297
301,349.14,265.66,-83.48
302,188.8,199.991,11.191
303,312.9,200.46,-112.44
304,263.2,252.355,-10.845
305,275.8,234.843,-40.957
306,199.8,200.18,0.38
307,228.8,200.262,-28.538
308,201.8,200.549,-1.251
309,178.8,200.199,21.399
310,274.4,207.791,-66.609
311,173.4,256.934,83.534
312,338.9,251.718,-87.182
313,100.98,196.269,95.289
314,215.9,200.577,-15.323
315,182.8,196.621,13.821
316,138.8,200.176,61.376
317,102.98,200.107,97.127
318,154.8,199.622,44.822
319,236.8,196.843,-39.957
320,206.8,196.131,-10.669
321,161.8,200.741,38.941
322,375.9,200.991,-174.909
323,164.98,208.05,43.07
324,138.3,195.903,57.603
325,?,208.656,?
326,231.72,257.312,25.592
327,236.9,200.892,-36.008
328,153.8,200.68,46.88
329,190.3,196.931,6.631
330,262.8,207.191,-55.609
331,190.9,251.087,60.187
332,170.98,195.495,24.515
333,124.8,200.095,75.295
334,226.4,196.045,-30.355
335,161.8,200.796,38.996
336,261.8,238.682,-23.118
337,178.8,199.875,21.075
338,226.4,253.163,26.763
339,126.8,196.299,69.499
340,122.98,195.467,72.487
341,271.9,200.224,-71.676
342,217.81,179.513,-38.297
343,229.8,200.254,-29.546
344,167.8,238.706,70.906
345,210.3,258.832,48.532
346,134.8,200.112,65.312
347,260.9,208.47,-52.43
348,405.9,200.706,-205.194
349,189.8,200.606,10.806
350,226.8,200.462,-26.338
351,169.8,200.624,30.824
352,192.8,200.142,7.342
353,243.2,252.871,9.671
354,155.8,200.495,44.695
355,200.9,200.124,-0.776
356,147.8,196.131,48.331
357,257.8,208.062,-49.738
358,211.8,200.634,-11.166
359,193.3,195.707,2.407
360,?,264.28,?
361,183.3,195.789,12.489
362,191.8,200.561,8.761
363,164.8,200.306,35.506
364,202.4,197.235,-5.165
365,150.8,178.884,28.084
366,233.8,200.672,-33.128
367,244.8,196.511,-48.289
368,209.9,207.619,-2.281
369,92.8,199.966,107.166
370,209.8,195.763,-14.037
371,106.8,200.273,93.473
372,170.8,196.602,25.802
373,109.8,200.102,90.302
374,161.8,200.799,38.999
375,140.9,200.114,59.214
376,235.8,200.2,-35.6
377,243.9,200.608,-43.292
378,?,200.767,?
379,173.81,200.151,26.341
380,184.8,196.785,11.985
381,263.2,252.832,-10.368
382,263.2,252.503,-10.697
383,107.98,195.4,87.42
384,218.9,208.197,-10.703
385,236.8,199.872,-36.928
386,211.8,200.161,-11.639
387,198.8,200.968,2.168
388,148.8,200.348,51.548
389,353.9,200.033,-153.867
390,233.8,196.456,-37.344
391,263.91,200.281,-63.629
392,267.9,207.66,-60.24
393,158.8,199.821,41.021
394,81.8,199.829,118.029
395,186.8,200.397,13.597
396,152.8,200.582,47.782
397,175.8,200.42,24.62
398,310.9,200.665,-110.235
399,148.8,195.864,47.064
400,211.8,199.918,-11.882
401,?,240.93,?
402,155.8,200.121,44.321
403,214.9,251.55,36.65
404,202.8,200.54,-2.26
405,382.9,251.384,-131.516
406,159.8,199.921,40.121
407,115.8,207.799,91.999
408,169.8,200.146,30.346
409,193.8,200.238,6.438
410,293.8,196.973,-96.827
411,139.8,207.189,67.389
412,204.8,200.425,-4.375
413,211.8,196.117,-15.683
414,166.8,199.295,32.495
415,313.8,208.293,-105.507
416,302.9,240.423,-62.477
417,254.5,200.958,-53.542
418,154.8,207.674,52.874
419,267.8,200.057,-67.743
420,208.8,208.282,-0.518
421,184.99,199.721,14.731
422,281,200.209,-80.791
423,262.8,234.654,-28.146
424,192.98,200.843,7.863
425,171.8,199.778,27.978
426,147.8,200.539,52.739
427,331.8,200.745,-131.055
428,249.98,199.423,-50.557
429,136.8,200.347,63.547
430,230.8,234.352,3.552
431,214.9,200.368,-14.532
432,216.9,197.134,-19.766
433,155.98,199.636,43.656
434,326.8,239.876,-86.924
435,367.3,260.601,-106.699
436,270.8,200.652,-70.148
437,207.8,237.504,29.704
438,114.8,199.918,85.118
439,163.8,200.345,36.545
440,206.8,200.32,-6.48
441,154.8,200.403,45.603
442,180.8,196.576,15.776
443,199.9,200.356,0.456
444,199.9,199.93,0.03
445,301.9,200.364,-101.536
446,330.3,199.92,-130.38
447,151.8,200.432,48.632
448,172.79,200.434,27.644
449,229.8,238.242,8.442
450,242.8,200.565,-42.235
451,162.8,200.586,37.786
452,241.8,200.733,-41.067
453,211.8,200.044,-11.756
454,293.9,196.188,-97.712
455,179.8,196.835,17.035
456,250,196.595,-53.405
457,168.8,200.724,31.924
458,191.8,201.067,9.267
459,279.9,252.002,-27.898
460,176.8,200.126,23.326
461,117.3,199.795,82.495
462,197.8,197.214,-0.586
463,218.8,200.541,-18.259
464,169.8,196.325,26.525
465,138.8,200.042,61.242
466,301.9,200.284,-101.616
467,170.8,195.731,24.931
468,182.8,199.86,17.06
469,197.98,200.118,2.138
470,159.8,200.478,40.678
471,286.8,200.667,-86.133
472,317,226.956,-90.044
473,181.8,199.785,17.985
474,168.8,199.638,30.838
