inst#,actual,predicted,error
1,142.99,102.641,-40.349
2,166.8,122.944,-43.856
3,276.9,235.192,-41.708
4,214.8,216.026,1.226
5,?,328.769,?
6,174.81,141.401,-33.409
7,254.8,200.906,-53.894
8,265.8,195.431,-70.369
9,242.8,199.126,-43.674
10,233.8,249.864,16.064
11,177.8,199.423,21.623
12,163.8,176.642,12.842
13,?,229.726,?
14,204.8,240.246,35.446
15,?,246.97,?
16,?,259.125,?
17,204.8,185.279,-19.521
18,144.8,173.578,28.778
19,148.8,181.486,32.686
20,143.8,178.974,35.174
21,127.8,175.64,47.84
22,198.68,234.761,36.081
23,223.8,175.499,-48.301
24,249.8,220.34,-29.46
25,192.9,232.616,39.716
26,130.81,147.369,16.559
27,207.8,166.502,-41.298
28,255.8,190.47,-65.33
29,146.8,166.073,19.273
30,210.8,172.177,-38.623
31,205.8,213.67,7.87
32,163.8,193.451,29.651
33,308.8,245.185,-63.615
34,231.3,242.421,11.121
35,186.8,238.254,51.454
36,298.8,233.22,-65.58
37,206.8,195.843,-10.957
38,139.98,137.861,-2.119
39,106.8,197.518,90.718
40,475.1,359.697,-115.403
41,234,233.648,-0.352
42,155.8,202.445,46.645
43,201.3,199.016,-2.284
44,103.8,122.082,18.282
45,148.8,181.912,33.112
46,202.8,185.509,-17.291
47,110.98,141.201,30.221
48,232.8,224.847,-7.953
49,188.8,182.928,-5.872
50,347,345.728,-1.272
51,130.81,162.612,31.802
52,159.3,186.666,27.366
53,186.8,231.508,44.708
54,161.8,199.63,37.83
55,222.8,240.889,18.089
56,240.9,254.698,13.798
57,206.8,182.676,-24.124
58,133.8,191.774,57.974
59,144.8,119.355,-25.445
60,227.3,214.447,-12.853
61,353.3,279.679,-73.621
62,130.81,170.188,39.378
63,200.8,166.132,-34.668
64,147.8,167.628,19.828
65,61.98,85.023,23.043
66,215.79,240.708,24.918
67,173.98,214.002,40.022
68,181.3,196.238,14.938
69,172.79,183.425,10.635
70,174.81,172.805,-2.005
71,135.91,211.548,75.638
72,265.8,220.912,-44.888
73,185.9,172.925,-12.975
74,247.9,189.147,-58.753
75,353.9,308.302,-45.598
76,221.8,181.892,-39.908
77,301.9,271.423,-30.477
78,335.8,229.419,-106.381
79,175.8,208.15,32.35
80,122.3,121.164,-1.136
81,158.8,155.486,-3.314
82,288.8,279.371,-9.429
83,252.8,210.674,-42.126
84,202.3,237.551,35.251
85,231.8,251.46,19.66
86,141.8,166.052,24.252
87,171.9,205.01,33.11
88,142.8,221.449,78.649
89,207.8,224.105,16.305
90,295.9,269.975,-25.925
91,216.81,198.073,-18.737
92,266.98,167.584,-99.396
93,124.9,184.221,59.321
94,384.9,278.489,-106.411
95,196.4,186.095,-10.305
96,231.8,226.557,-5.243
97,206.8,189.699,-17.101
98,294.8,288.603,-6.197
99,265.8,249.102,-16.698
100,236.8,193.389,-43.411
101,259.81,196.108,-63.702
102,251.9,239.93,-11.97
103,368.8,244.944,-123.856
104,148.8,155.188,6.388
105,213.8,194.797,-19.003
106,145.98,116.195,-29.785
107,98.8,182.781,83.981
108,410.8,322.622,-88.178
109,246.3,213.638,-32.662
