inst#,actual,predicted,error
222,171.8,177.5,5.7
223,256.8,191.684,-65.116
224,201.8,198.275,-3.525
225,190,177.5,-12.5
226,161.8,189.024,27.224
227,256.8,191.684,-65.116
228,202.8,198.275,-4.525
229,225.9,206.969,-18.931
230,150.8,191.684,40.884
231,121.8,177.5,55.7
232,160.8,206.969,46.169
233,?,177.5,?
234,142.99,186.75,43.76
235,345,200.934,-144.066
236,282.1,212.459,-69.641
237,224.8,212.006,-12.794
238,290.9,186.75,-104.15
239,195.8,206.969,11.169
240,227.8,177.5,-50.3
241,156.8,177.5,20.7
242,158.8,189.024,30.224
243,205.8,222.62,16.82
244,196.8,212.459,15.659
245,201.8,213.37,11.57
246,328.8,226.867,-101.933
247,149.8,177.5,27.7
248,354.9,177.5,-177.4
249,207.8,186.75,-21.05
250,245.8,177.5,-68.3
251,159.8,189.024,29.224
252,293.9,237.715,-56.185
253,199.8,191.684,-8.116
254,171.8,245.113,73.313
255,205.9,212.459,6.559
256,276.4,191.684,-84.716
257,172.79,244.812,72.022
258,318.9,279.29,-39.61
259,206.8,191.684,-15.116
260,314.9,218.494,-96.406
261,100.9,177.5,76.6
262,226.8,203.208,-23.592
263,168.8,177.5,8.7
264,202.98,177.5,-25.48
265,252.8,198.275,-54.525
266,289.3,241.051,-48.249
267,171.8,218.494,46.694
268,172.79,177.5,4.71
269,228.8,212.459,-16.341
270,185.99,177.5,-8.49
271,286.8,198.275,-88.525
272,101.8,177.5,75.7
273,280.9,226.867,-54.033
274,119.98,177.5,57.52
275,140.8,186.75,45.95
276,210.9,206.969,-3.931
277,279.9,259.071,-20.829
278,345.81,206.969,-138.841
279,102.98,198.275,95.295
280,121.8,191.684,69.884
281,192.8,177.5,-15.3
282,189.9,207.513,17.613
283,168.9,212.459,43.559
284,116.8,177.5,60.7
285,279.9,186.75,-93.15
286,211.8,198.275,-13.525
287,199.8,224.593,24.793
288,239.8,177.5,-62.3
289,246.8,177.5,-69.3
290,145.3,177.5,32.2
291,62.98,177.5,114.52
292,153.8,189.024,35.224
293,177.3,223.427,46.127
294,163.4,203.208,39.808
295,206.8,246.966,40.166
296,210.8,218.494,7.694
297,270.9,218.494,-52.406
298,217.81,218.494,0.684
299,267.9,244.812,-23.088
300,245.9,212.459,-33.441
301,349.14,249.82,-99.32
302,188.8,186.75,-2.05
303,312.9,191.684,-121.216
304,263.2,266.071,2.871
305,275.8,224.894,-50.906
306,199.8,198.262,-1.538
307,228.8,206.969,-21.831
308,201.8,198.275,-3.525
309,178.8,191.684,12.884
310,274.4,232.678,-41.722
311,173.4,249.82,76.42
312,338.9,245.853,-93.047
313,100.98,189.024,88.044
314,215.9,186.75,-29.15
315,182.8,191.684,8.884
316,138.8,189.024,50.224
317,102.98,177.5,74.52
318,154.8,198.275,43.475
319,236.8,206.969,-29.831
320,206.8,177.5,-29.3
321,161.8,232.678,70.878
322,375.9,241.476,-134.424
323,164.98,189.024,24.044
324,138.3,177.5,39.2
325,?,253.001,?
326,231.72,272.711,40.991
327,236.9,234.328,-2.572
328,153.8,203.208,49.408
329,190.3,221.153,30.853
330,262.8,189.024,-73.776
331,190.9,245.853,54.953
332,170.98,177.5,6.52
333,124.8,177.5,52.7
334,226.4,191.684,-34.716
335,161.8,232.678,70.878
336,261.8,224.894,-36.906
337,178.8,191.684,12.884
338,226.4,266.071,39.671
339,126.8,186.75,59.95
340,122.98,177.5,54.52
341,271.9,186.75,-85.15
342,217.81,203.208,-14.602
343,229.8,189.024,-40.776
344,167.8,229.526,61.726
345,210.3,198.275,-12.025
346,134.8,198.275,63.475
347,260.9,218.494,-42.406
348,405.9,218.494,-187.406
349,189.8,218.494,28.694
350,226.8,244.812,18.012
351,169.8,212.459,42.659
352,192.8,189.024,-3.776
353,243.2,254.547,11.347
354,155.8,186.75,30.95
355,200.9,189.024,-11.876
356,147.8,177.5,29.7
357,257.8,237.715,-20.085
358,211.8,200.934,-10.866
359,193.3,177.5,-15.8
360,?,298.511,?
361,183.3,177.5,-5.8
362,191.8,212.459,20.659
363,164.8,198.275,33.475
364,202.4,200.934,-1.466
365,150.8,191.684,40.884
366,233.8,218.494,-15.306
367,244.8,206.969,-37.831
368,209.9,189.024,-20.876
369,92.8,189.024,96.224
370,209.8,197.719,-12.081
371,106.8,186.75,79.95
372,170.8,186.75,15.95
373,109.8,177.5,67.7
